192.168.1.1 - - [07/Jul/2025:14:30:58 +0000] "GET / HTTP/1.1" 200 66 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
89.42.231.140 - - [07/Jul/2025:14:31:23 +0000] "GET / HTTP/1.1" 200 66 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
103.199.33.250 - - [07/Jul/2025:14:31:25 +0000] "GET / HTTP/1.1" 200 66 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 EdgA/137.0.0.0"
103.199.33.250 - - [07/Jul/2025:14:31:35 +0000] "GET / HTTP/1.1" 200 66 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36 EdgA/137.0.0.0"
103.199.33.250 - - [07/Jul/2025:14:43:35 +0000] "GET / HTTP/1.1" 200 66 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36"
103.199.33.250 - - [07/Jul/2025:14:43:35 +0000] "GET /favicon.ico HTTP/1.1" 404 196 "http://113.172.84.41:8080/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36"
45.194.66.6 - - [07/Jul/2025:14:47:13 +0000] "GET / HTTP/1.1" 200 66 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
193.26.157.131 - - [07/Jul/2025:14:47:54 +0000] "CONNECT www.google.com:443 HTTP/1.1" 400 150 "-" "-"
90.151.171.106 - - [07/Jul/2025:14:50:13 +0000] "\x04\x01\x00Ph\x15\x1A\xEA0\x00" 400 150 "-" "-"
90.151.171.106 - - [07/Jul/2025:14:50:13 +0000] "CONNECT eth0.me:443 HTTP/1.1" 400 150 "-" "-"
90.151.171.106 - - [07/Jul/2025:14:50:13 +0000] "GET http://eth0.me?Z75419117091Q1 HTTP/1.1" 200 66 "https://google.com/" "Mozilla/5.0 (Windows NT 6.1; rv:16.0) Gecko/20100101 Firefox/16.0 (+https://best-proxies.ru/faq/#from)"
90.151.171.106 - - [07/Jul/2025:14:50:18 +0000] "\x05\x01\x00" 400 150 "-" "-"
